,,MV KLARA-324820,,
,,,,
,,,,
1.00,BX,MACINTOSH APPLES 40  LB BOX,,
1.00,BX,BANANAS HALF RIPE 40 LB BOX,,
0.50,BX,LEMONS 40 LBS,,
0.50,BX,TANGERINES 40 LB BOX,,
1.00,BX,ORANGES  40 LBS,,
1.00,BX,CANTALOUPES 40 LB BOX,,
44.00,LB,WATERMELONS,,
5.00,LB,BEET ROOT 25 LB BOX,,
11.00,LB,FRESH BROCCOLI 22 LB BOX,,
12.00,LB,CHINESE CABBAGE 40 LB BOX,,
35.00,LB,WHITE CABBAGE 50 LB BOX,,
1.00,BX,CARROTS TOPPED 50 LB BAG,,
10.00,LB,CAULIFLOWER TRIM WRAP 20 LB/BX,,
7.00,LB,CELERY 50 LB BAG,,
1.00,BX,CUCUMBERS 50 LB BOX,,
5.00,LB,EGGPLANT 25 LB BOX,,
2.00,LB,FRESH GINGER ROOT,,
0.50,BX,GREEN BELL PEPPERS 25 LB BOX,,
2.00,LB,HOT CHILI PEPPERS,,
7.00,LB,LEEKS 20 LB BOX,,
1.50,BG,DRY YELLOW ONIONS 50LBS,,
0.50,BX,RED ONIONS 25 LB BOX,,
10.00,LB,PUMPKINS 40 LB BOX,,
5.00,LB,WHITE DAIKON RADISH 40 LB BOX,,
40.00,LB,RED BELL PEPPER,,
2.00,LB,RED HOT CHILI PEPPERS,,
58.00,BC,SCULLION(SPRING ONION) 1/3 LBS,,
2.00,BX,TOMATOES 1/2 RIPE 25 LB BOX,,
5.00,LB,STRING BEANS 25 LB BOX,,
1.00,BX,ICEBERG LETTUCE 45 LB BOX,,
3.00,BG,NEW WHITE POTATOES 50 LB BAG,,
5.00,DOGS,ZZ THIS DOES NOT EXIST ZZ,,
300.00,LB,LEMON  GR.ASS,,
1.00,BX,LOG TEST 1,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
